,Loyalty#,First Name,Last Name,Customer Name,Country,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Cancelled,Time on Program,EnrollmentDay
5986,560936,Dora,Bueckers,Dora Bueckers,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Female,Bachelor,Suburban,79487.0,Divorced,Nova,2018-08-28,,4626.8,Standard,N,1220 days,Tuesday
5987,636965,Lizeth,Towley,Lizeth Towley,Canada,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,Female,College,Urban,0.0,Single,Nova,2020-07-11,,4630.36,Standard,N,537 days,Saturday
5988,266516,Eusebio,Salter,Eusebio Salter,Canada,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,Female,College,Urban,0.0,Single,Nova,2018-11-21,,4633.1,Standard,N,1135 days,Wednesday
5989,346103,Jacquelynn,Recio,Jacquelynn Recio,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Female,High School or Below,Urban,27132.0,Single,Nova,2020-02-08,,4633.34,Standard,N,691 days,Saturday
5990,778393,Malika,Schroeppel,Malika Schroeppel,Canada,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Male,Bachelor,Urban,50250.0,Married,Nova,2015-07-01,,4633.45,Standard,N,2374 days,Wednesday
5991,259700,Elisabeth,Baxi,Elisabeth Baxi,Canada,Saskatchewan,Regina,50.44521,-104.6189,S6J 3G0,Female,Bachelor,Suburban,29105.0,Married,Nova,2021-08-27,,4633.55,Standard,N,125 days,Friday
5992,234588,Theodore,John,Theodore John,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,Master,Urban,26802.0,Married,Nova,2018-08-02,,4636.55,Standard,N,1246 days,Thursday
5993,580834,Yuonne,Rohm,Yuonne Rohm,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Male,Master,Rural,26802.0,Married,Nova,2020-02-03,,4636.55,Standard,N,696 days,Monday
5994,733601,Kendall,Waldow,Kendall Waldow,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Male,College,Rural,0.0,Divorced,Nova,2021-09-12,2019-05-12,4637.54,Standard,Y,-854 days,Sunday
5995,402177,Morgan,Isadore,Morgan Isadore,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Male,College,Suburban,0.0,Divorced,Nova,2021-10-26,2019-06-26,4638.95,Standard,Y,-853 days,Tuesday
5996,959192,Stanford,Baver,Stanford Baver,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Male,College,Rural,0.0,Divorced,Nova,2018-04-24,,4638.95,Standard,N,1346 days,Tuesday
5997,718031,Floy,Villalobas,Floy Villalobas,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Female,College,Urban,0.0,Single,Nova,2015-09-26,,4639.04,Standard,N,2287 days,Saturday
5998,187390,France,Teicher,France Teicher,Canada,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,Female,College,Rural,0.0,Divorced,Nova,2020-12-04,,4644.7,Standard,N,391 days,Friday
5999,603587,Moises,Rzepecki,Moises Rzepecki,Canada,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Male,Bachelor,Suburban,37530.0,Married,Nova,2017-11-22,,4646.39,Standard,N,1499 days,Wednesday
6000,425717,Quincy,Lerra,Quincy Lerra,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Male,College,Suburban,0.0,Married,Nova,2016-05-07,2021-05-08,4648.54,Standard,Y,1827 days,Saturday
6001,184755,August,Cornejo,August Cornejo,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,Master,Urban,28215.0,Single,Nova,2021-02-09,,4650.06,2021 Promotion,N,324 days,Tuesday
6002,222050,Lashunda,Trieu,Lashunda Trieu,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Female,Master,Urban,28215.0,Single,Nova,2021-04-27,,4650.06,2021 Promotion,N,247 days,Tuesday
6003,472964,Carmine,Cocomazzi,Carmine Cocomazzi,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Female,Master,Rural,28215.0,Single,Nova,2016-12-28,,4650.06,Standard,N,1828 days,Wednesday
6004,499027,Bunny,Musguire,Bunny Musguire,Canada,Ontario,London,42.984924,-81.245277,M5B 3E4,Male,Master,Suburban,28215.0,Single,Nova,2015-07-25,,4650.06,Standard,N,2350 days,Saturday
6005,761240,Micheal,Seiberlich,Micheal Seiberlich,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Female,Master,Urban,28215.0,Single,Nova,2015-07-24,,4650.06,Standard,N,2351 days,Friday
6006,885933,Shani,Khounthavong,Shani Khounthavong,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,Male,Master,Urban,28215.0,Single,Nova,2018-09-09,,4650.06,Standard,N,1208 days,Sunday
6007,945199,Norris,Gravina,Norris Gravina,Canada,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Female,Master,Rural,28215.0,Single,Nova,2020-12-07,,4650.06,Standard,N,388 days,Monday
6008,501655,Alline,Sonnier,Alline Sonnier,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Male,College,Urban,0.0,Single,Nova,2019-02-14,,4650.68,Standard,N,1050 days,Thursday
6009,530425,Allena,Cajka,Allena Cajka,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Male,College,Rural,0.0,Single,Nova,2016-08-28,,4650.68,Standard,N,1950 days,Sunday
6011,173252,Angel,Nodland,Angel Nodland,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,College,Rural,0.0,Married,Nova,2017-11-17,,4652.91,Standard,N,1504 days,Friday
6012,148258,Elizebeth,Furukawa,Elizebeth Furukawa,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Male,Bachelor,Urban,81883.0,Married,Nova,2020-03-10,2021-09-05,4654.58,Standard,Y,544 days,Tuesday
6013,307159,Nina,Chernich,Nina Chernich,Canada,Prince Edward Island,Charlottetown,46.238239,-63.131069,C1A 6E8,Female,College,Rural,0.0,Single,Nova,2015-11-24,,4654.84,Standard,N,2228 days,Tuesday
6014,140079,Jarvis,Laigo,Jarvis Laigo,Canada,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Male,Bachelor,Rural,30383.0,Divorced,Nova,2015-10-25,,4655.21,Standard,N,2258 days,Sunday
6015,345615,Margert,Loder,Margert Loder,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Male,College,Urban,0.0,Single,Nova,2020-06-02,,4655.39,Standard,N,576 days,Tuesday
6016,996238,Bruno,Siewert,Bruno Siewert,Canada,Nova Scotia,Halifax,44.648766,-63.575237,B3C 2M8,Female,Bachelor,Suburban,88240.0,Divorced,Nova,2018-01-20,,4655.61,Standard,N,1440 days,Saturday
6017,540751,Jarrett,Hammerstad,Jarrett Hammerstad,Canada,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,Male,College,Urban,0.0,Married,Nova,2019-11-10,,4656.49,2021 Promotion,N,781 days,Sunday
6018,798672,Megan,Ilg,Megan Ilg,Canada,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Female,Bachelor,Rural,29070.0,Married,Nova,2020-06-12,,4656.67,Standard,N,566 days,Friday
6019,929451,Ruthanne,Mulik,Ruthanne Mulik,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Male,Doctor,Urban,18024.0,Single,Nova,2017-01-03,,4657.16,Standard,N,1822 days,Tuesday
6020,526316,Chung,Teal,Chung Teal,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Female,College,Urban,0.0,Single,Nova,2019-12-21,,4660.01,Standard,N,740 days,Saturday
6021,913571,Georgiann,Traverse,Georgiann Traverse,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Female,College,Suburban,0.0,Single,Nova,2017-01-17,,4661.98,Standard,N,1808 days,Tuesday
6022,142122,Jackie,Gratz,Jackie Gratz,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,Bachelor,Urban,76157.0,Married,Nova,2021-12-14,,4669.23,Standard,N,16 days,Tuesday
6023,338837,Alane,Cosden,Alane Cosden,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Female,Bachelor,Suburban,76157.0,Married,Nova,2018-04-29,2018-12-29,4669.23,Standard,Y,244 days,Sunday
6024,381065,Shavon,Scribellito,Shavon Scribellito,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Male,Bachelor,Rural,76157.0,Married,Nova,2018-08-15,2020-03-26,4669.23,Standard,Y,589 days,Wednesday
6025,492883,Miki,Santeramo,Miki Santeramo,Canada,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Female,Bachelor,Rural,76157.0,Married,Nova,2016-05-28,,4669.23,Standard,N,2042 days,Saturday
6026,656288,Fonda,Dalhover,Fonda Dalhover,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Male,Bachelor,Rural,76157.0,Married,Nova,2019-11-29,,4669.23,Standard,N,762 days,Friday
6027,684699,Kandra,Baladejo,Kandra Baladejo,Canada,Nova Scotia,Halifax,44.648766,-63.575237,B3C 2M8,Female,Bachelor,Rural,76157.0,Married,Nova,2018-01-08,2018-03-04,4669.23,Standard,Y,55 days,Monday
6028,731373,Lisha,Genao,Lisha Genao,Canada,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,Male,Bachelor,Suburban,76157.0,Married,Nova,2021-11-15,,4669.23,Standard,N,45 days,Monday
6029,840262,Bennie,Cinnamon,Bennie Cinnamon,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Male,Bachelor,Urban,76157.0,Married,Nova,2015-08-14,,4669.23,Standard,N,2330 days,Friday
6030,844641,Britney,Mccannon,Britney Mccannon,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Female,College,Urban,0.0,Single,Nova,2019-01-20,,4671.42,Standard,N,1075 days,Sunday
6031,366161,Rossana,Zirkind,Rossana Zirkind,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,Male,Bachelor,Suburban,35830.0,Married,Nova,2021-02-03,,4674.71,2021 Promotion,N,330 days,Wednesday
6032,611481,September,Heidi,September Heidi,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Male,Bachelor,Suburban,83102.0,Married,Nova,2020-05-01,,4678.42,Standard,N,608 days,Friday
6033,526586,Burma,Gardy,Burma Gardy,Canada,Ontario,Kingston,44.231171,-76.485954,M9K 2P4,Male,Bachelor,Suburban,25187.0,Married,Nova,2019-01-11,,4683.44,Standard,N,1084 days,Friday
6034,202035,Vaughn,Kempen,Vaughn Kempen,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,Male,Bachelor,Suburban,77678.0,Married,Nova,2021-11-13,,4685.5,Standard,N,47 days,Saturday
6035,112226,Willard,Scouten,Willard Scouten,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,Bachelor,Rural,58089.0,Married,Nova,2017-01-01,,4686.47,Standard,N,1824 days,Sunday
6036,712362,Alisia,Amstutz,Alisia Amstutz,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Male,Bachelor,Rural,58089.0,Married,Nova,2019-06-25,,4686.47,Standard,N,919 days,Tuesday
6037,614574,Dixie,Wouters,Dixie Wouters,Canada,Saskatchewan,Regina,50.44521,-104.6189,S1J 3C5,Female,Bachelor,Rural,32646.0,Married,Nova,2020-12-23,,4686.81,Standard,N,372 days,Wednesday
6038,198570,Suzy,Hardmon,Suzy Hardmon,Canada,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Female,Doctor,Rural,27357.0,Married,Nova,2021-05-15,,4688.46,Standard,N,229 days,Saturday
6039,622953,Lakita,Santana,Lakita Santana,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Female,Doctor,Rural,27357.0,Married,Nova,2017-02-13,2017-10-21,4688.46,Standard,Y,250 days,Monday
6040,415402,Nicola,Dickenson,Nicola Dickenson,Canada,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Male,Bachelor,Urban,43367.0,Divorced,Nova,2020-06-20,,4690.79,Standard,N,558 days,Saturday
6041,749705,Angel,Eastern,Angel Eastern,Canada,Saskatchewan,Regina,50.44521,-104.6189,S1J 3C5,Male,Bachelor,Suburban,43367.0,Divorced,Nova,2016-06-17,,4690.79,Standard,N,2022 days,Friday
6042,854249,Denny,Steffenhagen,Denny Steffenhagen,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Male,College,Suburban,0.0,Single,Nova,2016-09-08,,4691.04,Standard,N,1939 days,Thursday
6043,981117,Robbie,Barbieri,Robbie Barbieri,Canada,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Male,College,Suburban,0.0,Single,Nova,2020-08-11,,4692.1,Standard,N,506 days,Tuesday
6044,148570,Jeremiah,Stibb,Jeremiah Stibb,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Male,Bachelor,Suburban,27985.0,Married,Nova,2021-03-30,2021-08-11,4698.52,2021 Promotion,Y,134 days,Tuesday
6045,138475,Logan,Enriquez,Logan Enriquez,Canada,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Male,Bachelor,Rural,80358.0,Married,Nova,2016-01-15,,4698.88,Standard,N,2176 days,Friday
6046,888417,Regena,Mesteth,Regena Mesteth,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Male,Bachelor,Urban,80358.0,Married,Nova,2017-12-05,,4698.88,Standard,N,1486 days,Tuesday
6047,573347,Tobi,Meekins,Tobi Meekins,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Female,College,Suburban,0.0,Single,Nova,2021-12-06,,4700.42,Standard,N,24 days,Monday
6048,307622,Teofila,Husak,Teofila Husak,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Male,Bachelor,Urban,47829.0,Married,Nova,2019-12-27,,4708.2,Standard,N,734 days,Friday
6049,451042,Magda,Lathern,Magda Lathern,Canada,Ontario,Thunder Bay,48.380894,-89.247681,K8T 5M5,Male,Bachelor,Urban,24843.0,Married,Nova,2018-05-14,2019-01-14,4711.04,Standard,Y,245 days,Monday
6050,486600,Tilda,Brackenridge,Tilda Brackenridge,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Female,Doctor,Urban,13933.0,Married,Nova,2018-01-28,,4711.08,Standard,N,1432 days,Sunday
6051,761403,Rachelle,Fitzmaurice,Rachelle Fitzmaurice,Canada,Alberta,Banff,51.178398,-115.5708,T4V 1D4,Female,College,Urban,0.0,Married,Nova,2017-02-06,,4715.32,Standard,N,1788 days,Monday
6052,356712,Chia,Leho,Chia Leho,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Male,Bachelor,Suburban,25746.0,Married,Nova,2016-10-08,,4716.26,2021 Promotion,N,1909 days,Saturday
6053,432716,Herman,Einstein,Herman Einstein,Canada,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Female,Bachelor,Rural,20355.0,Married,Nova,2018-05-09,,4717.63,Standard,N,1331 days,Wednesday
6054,805008,Ileana,Ramez,Ileana Ramez,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Male,Bachelor,Rural,20355.0,Married,Nova,2019-12-20,,4717.63,Standard,N,741 days,Friday
6055,902679,Rocio,Szady,Rocio Szady,Canada,Alberta,Calgary,51.048615,-114.07085,T3E 2V9,Female,Bachelor,Suburban,89642.0,Married,Nova,2018-09-28,,4719.45,Standard,N,1189 days,Friday
6056,924469,Armanda,Yeo,Armanda Yeo,Canada,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,Male,Bachelor,Suburban,26277.0,Single,Nova,2018-10-02,,4720.61,Standard,N,1185 days,Tuesday
6057,505776,Katharina,Taetzsch,Katharina Taetzsch,Canada,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,Male,College,Suburban,0.0,Single,Nova,2021-01-05,,4721.66,Standard,N,359 days,Tuesday
6058,154868,Ben,Kays,Ben Kays,Canada,Newfoundland,St. John's,47.561508,-52.712578,A1C 6H9,Female,Bachelor,Suburban,29193.0,Married,Nova,2021-02-02,,4723.45,2021 Promotion,N,331 days,Tuesday
6059,722566,Maddie,Tysarczyk,Maddie Tysarczyk,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,Female,Bachelor,Urban,29193.0,Married,Nova,2017-07-04,,4723.45,Standard,N,1640 days,Tuesday
6060,216573,Tawanda,Niskala,Tawanda Niskala,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Female,Bachelor,Suburban,23986.0,Married,Nova,2016-01-01,,4724.79,Standard,N,2190 days,Friday
6061,727952,Victorina,Fambrough,Victorina Fambrough,Canada,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,Female,Bachelor,Rural,23986.0,Married,Nova,2021-05-18,,4724.79,Standard,N,226 days,Tuesday
6062,323099,Clint,Palfreyman,Clint Palfreyman,Canada,British Columbia,Vancouver,49.28273,-123.12074,V1E 4R6,Male,High School or Below,Rural,13037.0,Married,Nova,2021-07-18,,4726.87,Standard,N,165 days,Sunday
6063,538042,Alyce,Haker,Alyce Haker,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Female,High School or Below,Urban,13037.0,Married,Nova,2018-12-01,,4726.87,Standard,N,1125 days,Saturday
6064,601143,Rhonda,Riskin,Rhonda Riskin,Canada,Prince Edward Island,Charlottetown,46.238239,-63.131069,C1A 6E8,Female,High School or Below,Rural,13037.0,Married,Nova,2015-09-03,,4726.87,Standard,N,2310 days,Thursday
6065,641827,Salome,Feno,Salome Feno,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,High School or Below,Rural,13037.0,Married,Nova,2017-03-02,2017-11-02,4726.87,Standard,Y,245 days,Thursday
6066,798871,Shelby,Umbel,Shelby Umbel,Canada,Ontario,Ottawa,45.421532,-75.697189,K1G 4Z0,Male,High School or Below,Urban,13037.0,Married,Nova,2018-07-02,,4726.87,Standard,N,1277 days,Monday
6067,200326,Chara,Quijada,Chara Quijada,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,Female,College,Rural,0.0,Married,Nova,2019-09-04,,4727.83,Standard,N,848 days,Wednesday
6068,434430,Pamala,Habib,Pamala Habib,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Male,College,Urban,0.0,Married,Nova,2019-02-14,2019-11-24,4727.83,Standard,Y,283 days,Thursday
6069,872669,Coletta,Swantner,Coletta Swantner,Canada,Ontario,Toronto,43.653225,-79.383186,P2T 6G3,Female,High School or Below,Suburban,29414.0,Divorced,Nova,2015-10-14,,4729.59,Standard,N,2269 days,Wednesday
6070,992065,Gregorio,Stelmach,Gregorio Stelmach,Canada,Alberta,Banff,51.178398,-115.5708,T4V 1D4,Female,Bachelor,Urban,69833.0,Married,Nova,2020-10-27,2021-06-27,4731.75,Standard,Y,243 days,Tuesday
6071,718887,Kyle,Detlefsen,Kyle Detlefsen,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Male,College,Suburban,0.0,Single,Nova,2017-03-20,,4734.26,Standard,N,1746 days,Monday
6072,238647,Maud,Schroyer,Maud Schroyer,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,Male,Bachelor,Urban,63977.0,Married,Nova,2019-05-28,,4737.84,Standard,N,947 days,Tuesday
6073,757270,Cecily,Neylon,Cecily Neylon,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,Male,College,Urban,0.0,Married,Nova,2019-12-02,2020-08-02,4737.87,Standard,Y,244 days,Monday
6074,924489,Elba,Brincefield,Elba Brincefield,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Female,College,Suburban,0.0,Married,Nova,2020-05-16,,4737.87,Standard,N,593 days,Saturday
6075,453165,Fatima,Zimick,Fatima Zimick,Canada,Alberta,Banff,51.178398,-115.5708,T4V 1D4,Female,College,Rural,0.0,Single,Nova,2020-03-28,2020-06-28,4738.99,Standard,Y,92 days,Saturday
6076,998972,Vera,Rakes,Vera Rakes,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Female,College,Rural,0.0,Married,Nova,2016-06-28,2020-12-21,4739.3,Standard,Y,1637 days,Tuesday
6077,695385,Dorsey,Ahles,Dorsey Ahles,Canada,Saskatchewan,Regina,50.44521,-104.6189,S1J 3C5,Female,Bachelor,Urban,49447.0,Married,Nova,2017-07-13,2018-08-28,4739.35,Standard,Y,411 days,Thursday
6078,947635,Hattie,Weimar,Hattie Weimar,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Female,Bachelor,Rural,35039.0,Single,Nova,2019-11-10,,4739.86,Standard,N,781 days,Sunday
6079,249466,Angelique,Manus,Angelique Manus,Canada,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,Male,College,Suburban,0.0,Single,Nova,2018-04-06,,4741.81,Standard,N,1364 days,Friday
6080,862659,Shalon,Dorka,Shalon Dorka,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,College,Urban,0.0,Single,Nova,2016-12-03,2021-03-22,4741.81,Standard,Y,1570 days,Saturday
6081,987153,Maria,Gollob,Maria Gollob,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,Male,Bachelor,Urban,63891.0,Married,Nova,2017-07-23,,4742.11,Standard,N,1621 days,Sunday
6082,985374,Lynelle,Coyle,Lynelle Coyle,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,Bachelor,Rural,78596.0,Married,Nova,2019-04-28,,4742.62,Standard,N,977 days,Sunday
6083,485282,Thomasena,Cantrelle,Thomasena Cantrelle,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 2J6,Male,Bachelor,Urban,83413.0,Married,Nova,2015-11-25,,4743.69,Standard,N,2227 days,Wednesday
6084,851830,Nichelle,Sevillano,Nichelle Sevillano,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Female,Bachelor,Rural,83413.0,Married,Nova,2016-05-24,,4743.69,Standard,N,2046 days,Tuesday
6086,253852,Sheldon,Coughlin,Sheldon Coughlin,Canada,Alberta,Peace River,56.23418,-117.28938,T9O 2W2,Male,Doctor,Urban,15169.0,Married,Nova,2017-02-05,,4746.69,Standard,N,1789 days,Sunday
6087,746863,Leah,Frames,Leah Frames,Canada,Quebec,Tremblant,46.118462,-74.596184,H5Y 2S9,Female,Bachelor,Urban,54050.0,Married,Nova,2021-11-06,,4746.76,Standard,N,54 days,Saturday
6088,958923,Mathew,Renner,Mathew Renner,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,Male,Bachelor,Rural,42165.0,Single,Nova,2015-09-16,,4747.73,Standard,N,2297 days,Wednesday
6089,777871,Erin,Bungay,Erin Bungay,Canada,Nova Scotia,Halifax,44.648766,-63.575237,B3J 9S2,Female,College,Rural,0.0,Single,Nova,2015-10-27,,4748.79,Standard,N,2256 days,Tuesday
6090,976623,Vena,Vansteenburg,Vena Vansteenburg,Canada,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,Female,College,Rural,0.0,Single,Nova,2016-05-24,,4754.45,Standard,N,2046 days,Tuesday
6091,338212,Dillon,Mccallion,Dillon Mccallion,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,Female,Bachelor,Rural,30886.0,Divorced,Nova,2018-11-29,,4754.65,Standard,N,1127 days,Thursday
6092,897387,Loren,Kincheloe,Loren Kincheloe,Canada,British Columbia,Victoria,48.428421,-123.36565,V10 6T5,Male,Bachelor,Suburban,30886.0,Divorced,Nova,2016-11-10,,4754.65,Standard,N,1876 days,Thursday
6093,460058,Nikita,Scarpitto,Nikita Scarpitto,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Male,Bachelor,Suburban,72193.0,Married,Nova,2020-07-18,,4755.76,Standard,N,530 days,Saturday
6094,158400,Bernie,Omahony,Bernie Omahony,Canada,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,Male,Bachelor,Rural,48938.0,Divorced,Nova,2017-09-25,,4756.91,Standard,N,1557 days,Monday
6095,662880,Asia,Iyo,Asia Iyo,Canada,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,Female,Bachelor,Urban,67486.0,Married,Nova,2017-10-02,,4757.24,Standard,N,1550 days,Monday
6096,179489,Coralee,Fairbank,Coralee Fairbank,Canada,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,Male,Bachelor,Urban,72805.0,Married,Nova,2021-09-28,,4758.19,Standard,N,93 days,Tuesday
6097,508501,Zackary,Argue,Zackary Argue,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R3R 3T4,Male,Bachelor,Urban,92324.0,Married,Nova,2015-08-04,,4758.47,Standard,N,2340 days,Tuesday
6098,382953,Carri,Rearick,Carri Rearick,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3Z3,Male,College,Urban,0.0,Single,Nova,2015-10-25,,4758.56,Standard,N,2258 days,Sunday
6099,845180,Travis,Ken,Travis Ken,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,Female,College,Urban,0.0,Single,Nova,2021-01-06,,4758.56,Standard,N,358 days,Wednesday
6100,209357,Curtis,Casarrubias,Curtis Casarrubias,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,Male,Bachelor,Suburban,26747.0,Married,Nova,2018-05-13,,4759.62,Standard,N,1327 days,Sunday
6101,705243,Leonie,Gurnsey,Leonie Gurnsey,Canada,Ontario,Toronto,43.653225,-79.383186,P1J 8T7,Male,Bachelor,Urban,26747.0,Married,Nova,2018-01-27,,4759.62,Standard,N,1433 days,Saturday
6102,371580,Gia,Moreida,Gia Moreida,Canada,Ontario,Sudbury,46.522099,-80.953033,M5V 1G5,Female,High School or Below,Suburban,16656.0,Married,Nova,2015-06-02,,4762.56,Standard,N,2403 days,Tuesday
6103,173343,Mimi,Busuttil,Mimi Busuttil,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,Female,Bachelor,Rural,78757.0,Married,Nova,2021-02-04,,4764.86,2021 Promotion,N,329 days,Thursday
6104,771259,Jayne,Malys,Jayne Malys,Canada,Manitoba,Winnipeg,49.895138,-97.138374,R2C 0M5,Male,Bachelor,Urban,70432.0,Married,Nova,2017-02-16,,4766.65,Standard,N,1778 days,Thursday
6105,404434,Marilynn,Gloff,Marilynn Gloff,Canada,Newfoundland,St. John's,47.561508,-52.712578,A1C 6H9,Female,College,Rural,0.0,Single,Nova,2015-07-18,,4767.69,Standard,N,2357 days,Saturday
6106,164226,Misha,Langmyer,Misha Langmyer,Canada,British Columbia,Whistler,50.116322,-122.95736,V6T 1Y8,Male,Bachelor,Rural,51144.0,Married,Nova,2017-04-25,,4768.96,Standard,N,1710 days,Tuesday
6107,794620,Merle,Kinde,Merle Kinde,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Female,Bachelor,Rural,51144.0,Married,Nova,2021-07-07,,4768.96,Standard,N,176 days,Wednesday
6108,101148,Francine,Lovato,Francine Lovato,Canada,British Columbia,West Vancouver,49.328625,-123.16019,V6V 8Z3,Female,High School or Below,Rural,12964.0,Single,Nova,2015-11-01,,4770.55,Standard,N,2251 days,Sunday
6109,442018,Garry,Wenthold,Garry Wenthold,Canada,Quebec,Montreal,45.50169,-73.567253,H2T 9K8,Male,High School or Below,Suburban,12964.0,Single,Nova,2020-07-23,,4770.55,Standard,N,525 days,Thursday
